Hole,Par,Yards,Avg,Rank,+/-,Eagles,Birdies,Pars,Bogeys,Dbls+
1,4,435,4.01,10,0.01,0,40,232,37,3
2,5,595,4.667,17,-0.333,2,130,154,22,4
3,4,360,3.708,15,-0.292,6,110,168,27,0
4,5,645,4.692,16,-0.308,2,118,169,20,3
5,3,170,2.901,13,-0.099,0,65,218,24,5
6,4,520,4.125,4,0.125,0,33,211,65,2
7,3,195,3.087,7,0.087,0,36,221,48,6
8,4,540,4.048,8,0.048,0,38,222,51,1
9,4,510,4.25,1,0.25,0,30,195,70,14
10,3,205,3.103,6,0.103,1,41,201,64,4
11,4,490,4.035,9,0.035,0,41,223,44,4
12,5,580,4.554,18,-0.446,9,144,139,17,3
13,4,465,4.192,3,0.192,0,41,193,59,16
14,3,230,3.122,5,0.122,0,28,218,66,0
15,4,360,3.827,14,-0.173,0,86,196,28,2
16,4,435,3.939,12,-0.061,0,67,199,44,2
17,4,475,4.224,2,0.224,0,32,186,86,8
18,4,445,3.981,11,-0.019,0,49,221,41,1