Handicap Index,Number of Golfers,Percentage of Golfers
<0,741.6,0.0015
0,1368.4,0.00276
1,1368.4,0.00276
2,1368.4,0.00276
3,1368.4,0.00276
4,1368.4,0.00276
5,2516.8,0.00508
6,2516.8,0.00508
7,2516.8,0.00508
8,2516.8,0.00508
9,2516.8,0.00508
10,5397.8,0.01088
11,5397.8,0.01088
12,5397.8,0.01088
13,5397.8,0.01088
14,5397.8,0.01088
15,10546.8,0.02128
16,10546.8,0.02128
17,10546.8,0.02128
18,10546.8,0.02128
19,10546.8,0.02128
20,16229.6,0.03274
21,16229.6,0.03274
22,16229.6,0.03274
23,16229.6,0.03274
24,16229.6,0.03274
25,19551.8,0.03944
26,19551.8,0.03944
27,19551.8,0.03944
28,19551.8,0.03944
29,19551.8,0.03944
30,16808.4,0.0339
31,16808.4,0.0339
32,16808.4,0.0339
33,16808.4,0.0339
34,16808.4,0.0339
35,11555.6,0.0233
36,11555.6,0.0233
37,11555.6,0.0233
38,11555.6,0.0233
39,11555.6,0.0233
40,6703,0.01352
41,6703,0.01352
42,6703,0.01352
43,6703,0.01352
44,6703,0.01352
45,3688.8,0.00744
46,3688.8,0.00744
47,3688.8,0.00744
48,3688.8,0.00744
49,3688.8,0.00744
50,4061.4,0.0082
51,4061.4,0.0082
52,4061.4,0.0082
53,4061.4,0.0082
54,4061.4,0.0082